lat,lon,code
28.2,86.83,0010
28.67,84.58,0045
28.67,84.58,0046
28.67,84.58,0047
28.67,84.58,0048
28.67,84.58,0049
28.67,84.58,0050
28.2,86.83,0193
28.8,83.87,0203
28.8,83.87,0204
28.8,83.87,0205
